catch_terms,recode_column,organization_name,domains,country,parent_org,org_type,added
mad monkey studio,mad monkey studio,Mad Monkey Studio,madmonkeystudio.com,NA,NA,video game industry,
madcap software,madcap software,MadCap Software,madcapsoftware.com,United States of America,NA,software,
madfinger games,madfinger games,Madfinger Games,madfingergames.com,Czech Republic,NA,video game industry,
mag interactive,mag interactive,MAG Interactive,maginteractive.se,Sweden,NA,video game industry,
magellan navigation,magellan navigation,Magellan Navigation,magellangps.com,United States of America,MiTAC,technology industry,
magenta software,magenta software,Magenta Software,magentasoftware.com,United Kingdom,NA,video game industry,
magenta therapeutics,magenta therapeutics,Magenta Therapeutics,magentatx.com,NA,NA,biotechnology industry,
mages,mages,MAGES.,mages.co.jp,Japan,NA,video game industry,
magic bytes,magic bytes,Magic Bytes,magicbytes.com,Germany,NA,software industry|video game industry,
magic software enterprises,magic software enterprises,Magic Software Enterprises,magicsoftware.com,NA,NA,software,
magic solutions,magic solutions,Magic Solutions,bmc.com,NA,NA,software,
magix software gmbh,magix software gmbh,MAGIX Software GmbH,magix.com,Germany,NA,software industry,
magma design automation,magma design automation,Magma Design Automation,magma-da.com,NA,NA,software,
magmic,magmic,Magmic,magmic.com,NA,NA,video game industry,
magnavox,magnavox,Magnavox,magnavox.com,United States of America,Koninklijke Philips NV,video game industry,
magnussoft,magnussoft,magnussoft,magnussoft.com,Germany,NA,video game industry,
magpi,magpi,Magpi,home.magpi.com,NA,NA,software industry,
mahindra satyam,mahindra satyam,Mahindra Satyam,mahindrasatyam.com,NA,NA,information technology,
maiet entertainment,maiet entertainment,MAIET Entertainment,maiet.co.kr,South Korea,NA,video game industry,
mailermailer,mailermailer,MailerMailer,mailermailer.com,NA,NA,software,
main loop,main loop,Main Loop,mainloopvideogames.com,Spain,NA,video game industry,
mainsoft,mainsoft,Mainsoft,NA,NA,NA,software industry,
make software,make software,Make Software,makesoft.co.jp,Japan,NA,video game industry,
maki pro,maki pro,MAKI Pro.,NA,Japan,NA,video game industry,
malam team,malam team,Malam Team,malamteam.com,Israel,Q12410444,information technology,
malinche entertainment,malinche entertainment,Malinche Entertainment,malinche.net,United States of America,NA,video game industry,
malwarebytes,malwarebytes,Malwarebytes,malwarebytes.com,United States of America,NA,software industry,
mammoth biosciences,mammoth biosciences,Mammoth Biosciences,NA,United States of America,NA,biotechnology industry,
manaccom,manaccom,Manaccom,manac.com.au,Australia,NA,software,
manageengine servicedesk plus,manageengine servicedesk plus,ManageEngine ServiceDesk Plus,manageengine.com,NA,NA,information technology|ITIL|IT service management,
managepro,managepro,ManagePro,NA,NA,NA,software,
mandriva,mandriva,Mandriva,openmandriva.org,Brazil,NA,software,
mangagamer,mangagamer,MangaGamer,mangagamer.com,Japan,NA,video game industry,
manifesto games,manifesto games,Manifesto Games,NA,United States of America,NA,video game industry,
mannkind corporation,mannkind corporation,MannKind Corporation,mannkindcorp.com,United States of America,NA,biotechnology,
manomio,manomio,Manomio,manomio.com,NA,NA,video game industry,
manual of errors artists,manual of errors artists,Manual of Errors Artists,manuera.com,Japan,NA,video game industry,
mapinfo corporation,mapinfo corporation,MapInfo Corporation,mapinfo.com,NA,NA,software|geographic information system,
mapna,mapna,MAPNA,mapnagroup.com,Iran,NA,electrical engineering|biomedical engineering|powertrain technology|power plant technology,
mapr,mapr,MapR,mapr.com,United States of America,NA,software,
marathon technologies,marathon technologies,Marathon Technologies,marathontechnologies.com,United States of America,NA,software,
marigul management,marigul management,Marigul Management,NA,Japan,NA,video game industry,
mariner software,mariner software,Mariner Software,marinersoftware.com,NA,NA,software,
mario club,mario club,Mario Club,marioclub.co.jp,Japan,Nintendo,video game industry,
mark of the unicorn,mark of the unicorn,Mark of the Unicorn,motu.com,United States of America,NA,software industry,
mark williams company,mark williams company,Mark Williams Company,NA,NA,NA,software industry,
marketing 360,marketing 360,Marketing 360,marketing360.com,United States of America,NA,marketing|software industry,
marketo,marketo,Marketo,marketo.com,United States of America,Adobe,software industry,
marklogic,marklogic,MarkLogic,marklogic.com,United States of America,NA,business software industry,
marqeta,marqeta,Marqeta,marqeta.com,United States of America,NA,financial technology,
marratech,marratech,Marratech,marratech.com,NA,NA,software industry,
martech,martech,Martech,NA,United Kingdom,NA,video game industry,
martiancraft,martiancraft,MartianCraft,martiancraft.com,United States of America,NA,software,
marvelous,marvelous,Marvelous,marv.jp,Japan,Marvelous Entertainment,video game industry,
mastek,mastek,Mastek,mastek.com,India,NA,software|information technology,
mastertronic,mastertronic,Mastertronic,mastertronic.com,United Kingdom,NA,video game industry,
mastiff,mastiff,Mastiff,mastiff-games.com,United States of America,NA,video game industry,
mathworks,mathworks,MathWorks,mathworks.de,United States of America,NA,software development,
mathys medical,mathys medical,Mathys Medical,mathysmedical.com,Switzerland,NA,health technology,
mauna kea technologies,mauna kea technologies,Mauna Kea Technologies,maunakeatech.fr,France,NA,health technology,
mausu promotion,mausu promotion,Mausu Promotion,mausu.net,Japan,NA,video game industry,
mavenir,mavenir,Mavenir,mavenir.com,United States of America,NA,software industry|telecommunication company|telecommunications industry,
max planck innovation,max planck innovation,Max Planck Innovation,max-planck-innovation.de,Germany,Max Planck Society,technology transfer,
maximum games,maximum games,Maximum Games,maximumgames.com,United States of America,NA,video game industry,
maxygen,maxygen,Maxygen,maxygen.com,United States of America,NA,biotechnology,
mazor robotics,mazor robotics,Mazor Robotics,mazorrobotics.com,United States of America,Medtronic plc,health technology,
mbf bioscience,mbf bioscience,MBF Bioscience,mbfbioscience.com,United States of America,NA,software,
mc lothlorien,mc lothlorien,MC Lothlorien,NA,United Kingdom,NA,video game industry,
mc2 france,mc2 france,MC2 France,microids.com,NA,NA,video game industry,
mcafee,mcafee,"McAfee, LLC",mcafee.com,NA,Intel,software industry,
mclane advanced technologies,mclane advanced technologies,McLane Advanced Technologies,mclaneat.com,United States of America,NA,information technology,
meborny,meborny,MEBORNY,meborny.com,Mongolia,NA,information technology|digital marketing,
medallia,medallia,Medallia,medallia.com,United States of America,NA,software industry|business software industry,
media entertainment,media entertainment,Media Entertainment,media-e.co.jp,Japan,NA,video game industry,
media factory,media factory,Media Factory,mediafactory.co.jp,Japan,NA,video game industry,
media vision,media vision,Media Vision,NA,United States of America,NA,video game industry,
mediacore,mediacore,MediaCore,mediacore.com,Canada,NA,educational technology,
mediamath,mediamath,MediaMath,mediamath.com,NA,NA,marketing software industry,
mediaworks,mediaworks,MediaWorks,mediaworks.co.jp,Japan,NA,video game industry|media industry,
medigene,medigene,MediGene,medigene.com,Germany,NA,biotechnology,
medivir,medivir,Medivir,medivir.com,Sweden,NA,biotechnology,
meesho,meesho,Meesho,meesho.com,India,NA,information technology|Social commerce,
megaputer intelligence,megaputer intelligence,Megaputer Intelligence,megaputer.com|megaputer.ru,United States of America,NA,information technology|data mining|knowledge management|text mining|software industry|data analysis|business intelligence|text analysis,
megatech software,megatech software,Megatech Software,NA,NA,NA,video game industry,
meitu,meitu,Meitu,meitu.com,People's Republic of China,NA,software development|software industry|electrical appliance,
mekensleep,mekensleep,Mekensleep,mekensleep.com,France,NA,video game industry,
memos software,memos software,MEMOS Software,memos.cz,Czech Republic,NA,information technology,
mendix,mendix,Mendix,mendix.com,NA,NA,software industry|enterprise software|internet industry,
mentez,mentez,Mentez,mentez.com,United States of America,NA,video game industry,
meqa,meqa,MEQA,NA,Azerbaijan,NA,information technology,
meridian knowledge solutions,meridian knowledge solutions,Meridian Knowledge Solutions,meridianks.com,NA,NA,software,
meridian systems,meridian systems,Meridian Systems,meridiansystems.com,United States of America,NA,software,
merregnon studios,merregnon studios,Merregnon Studios,gameconcerts.com,NA,NA,video game,
merrick systems,merrick systems,"Merrick Systems, Inc.",merricksystems.com,NA,NA,software,
metalogix software,metalogix software,Metalogix Software,metalogix.com,United States of America,NA,software industry,
metamatrix,metamatrix,MetaMatrix,metamatrix.com,NA,NA,software,
metaquotes software,metaquotes software,MetaQuotes Software,metaquotes.net,Russia,NA,software,
metastock,metastock,MetaStock,forum.metastock.com|metastock.com,United States of America,NA,software industry,
meteogroup,meteogroup,MeteoGroup,meteogroup.com,NA,NA,software as a service,
meteor games,meteor games,Meteor Games,NA,United States of America,NA,video game industry,
metia interactive,metia interactive,Metia Interactive,metia.co.nz,New Zealand,NA,video game industry,
métier,métier,Métier,metier.com,United States of America,NA,software industry,
metreos,metreos,Metreos,NA,United States of America,NA,software,
metro corporation,metro corporation,Metro Corporation,metro-japan.com,Japan,NA,video game industry,
metropolis gameport,metropolis gameport,Metropolis Gameport,NA,United States of America,NA,video game industry,
mevis medical solutions,mevis medical solutions,MeVis Medical Solutions,mevis.de,Germany,NA,software,
mezocliq,mezocliq,Mezocliq,mezocliq.com,United States of America,NA,software industry,
mgm interactive,mgm interactive,MGM Interactive,mgm.com,United States of America,Metro-Goldwyn-Mayer,video game industry,
mgs mobile gaming,mgs mobile gaming,MGS Mobile Gaming,NA,NA,NA,video game industry,
micelio,micelio,Micelio,NA,Belgium,NA,"Other professional, scientific and technical activities|Technical testing and analysis|Other information technology and computer service activities|Data processing, hosting and related activities|Other research and experimental development on natural sciences and engineering",
micreos,micreos,Micreos,micreos.com,NA,NA,biotechnology,
micro creative,micro creative,Micro Creative,NA,India,NA,video game industry,
micro focus international,micro focus international,Micro Focus International,microfocus.com,United Kingdom,NA,information technology,
micro genius,micro genius,Micro Genius,NA,NA,NA,video game industry,
micro power,micro power,Micro Power,NA,United Kingdom,NA,video game industry,
microcabin,microcabin,Microcabin,microcabin.co.jp,Japan,Fields Corporation,video game industry,
microdeal,microdeal,Microdeal,NA,United Kingdom,NA,video game industry,
microfolie's,microfolie's,Microfolie's,NA,NA,NA,video game industry,
micrografx,micrografx,Micrografx,igrafx.com,United States of America,NA,graphics software,
micrographic image,micrographic image,MicroGraphic Image,NA,United States of America,NA,video game industry,
microïds,microïds,Microïds,microids.com,France,NA,video game industry,
microimages,microimages,"MicroImages, Inc.",microimages.com,NA,NA,software|geographic information system,
microland,microland,Microland,microland.com,NA,Enytially,information technology,
micromania,micromania,Micromania,micromania.fr,NA,NA,video game industry,
micromania software,micromania software,Micromania Software,NA,Italy,NA,video game developer,
micromuse,micromuse,Micromuse,micromuse.com,United States of America,NA,software industry,
micronics,micronics,Micronics,NA,Japan,NA,video game industry,
microsoft,microsoft,Microsoft,microsoft.com,United States of America,NA,software development|software industry|technology industry,
microsoft (cz),microsoft (cz),Microsoft (cz),microsoft.com,Czech Republic,Microsoft,software industry,
microsoft japan,microsoft japan,Microsoft Japan,microsoft.com,Japan,Microsoft,video game industry,
microsoft mobile,microsoft mobile,Microsoft Mobile,microsoft.com,Finland,Microsoft,software development|telecommunications industry,
microsoft russia,microsoft russia,Microsoft Russia,microsoft.ru,NA,Microsoft,software|software industry,
microsphere,microsphere,Microsphere,NA,United Kingdom,NA,video game industry,
microstrategy,microstrategy,MicroStrategy,microstrategy.com,United States of America,NA,analytics|software development|software industry|data visualization|business intelligence|technology industry,
microware,microware,Microware,NA,NA,RadiSys,software,
midboss,midboss,MidBoss,midboss.com,United States of America,NA,video game industry,
midway games,midway games,Midway Games,wayback.archive.org,United States of America,Bally Manufacturing,video game industry,
might and delight,might and delight,Might and Delight,mightanddelight.com,Sweden,NA,video game industry,
mikogo,mikogo,Mikogo,mikogo.ru,Germany,NA,software,
millennium kitchen,millennium kitchen,Millennium Kitchen,mkitchen.co.jp,Japan,NA,video game industry,
millenniumit,millenniumit,MillenniumIT,NA,NA,NA,information technology,
milsoft,milsoft,MilSOFT,milsoft.com.tr,Turkey,NA,software industry,
miltenyi biotec,miltenyi biotec,Miltenyi Biotec,miltenyibiotec.com,Germany,NA,biotechnology industry,
mimimi productions,mimimi productions,Mimimi Productions,mimimi-productions.de|mimimi.games,Germany,NA,video game industry,
minakuchi engineering co ltd,minakuchi engineering co ltd,"Minakuchi Engineering Co., Ltd.",NA,Japan,NA,video game industry,
minato soft,minato soft,Minato Soft,NA,Japan,NA,video game industry,
mincom,mincom,Mincom,mincom.com,Australia,NA,information technology,
mind cti,mind cti,Mind CTI,mindcti.com,NA,NA,software,
mindbody,mindbody,MINDBODY,de.mindbodyonline.com|es.mindbodyonline.com|mindbodyonline.com|uk.mindbodyonline.com,United States of America,NA,software industry,
mindfire,mindfire,"MindFire, Inc",mindfireinc.com,United States of America,NA,software,
mindjet,mindjet,Mindjet,NA,United States of America,NA,project management software,
mindrec,mindrec,MindRec,NA,United States of America,NA,video game industry,
mindspark interactive network,mindspark interactive network,Mindspark Interactive Network,iacapps.com,United States of America,NA,video game industry,
mindtree,mindtree,Mindtree,mindtree.com,India,NA,IT service management|information technology consulting,
mindware corp,mindware corp,Mindware Corp.,NA,Japan,NA,video game industry,
minicabit,minicabit,Minicabit,minicabit.com,NA,NA,transport|information technology,
minnesota educational computing consortium,minnesota educational computing consortium,Minnesota Educational Computing Consortium,mecc.co,United States of America,NA,video game industry,
mint,mint,Mint,mint.com,NA,NA,software,
mirage media sc,mirage media sc,Mirage Media S.C.,NA,Poland,NA,video game industry,
mirco games,mirco games,Mirco Games,NA,NA,NA,video game industry,
mirrorsoft,mirrorsoft,Mirrorsoft,NA,United Kingdom,NA,video game industry,
misawa entertainment coltd,misawa entertainment coltd,"Misawa Entertainment Co.,Ltd.",NA,Japan,NA,video game industry,
mistwalker,mistwalker,Mistwalker,mistwalkercorp.com,Japan|United States of America,NA,video game industry,
mitac holdings,mitac holdings,MiTAC Holdings,mic-holdings.com.tw,NA,NA,information technology,
mitchell international,mitchell international,"Mitchell International, Inc.",mitchell.com,United States of America,NA,software,
mixed in key,mixed in key,Mixed In Key,mixedinkey.com,NA,NA,music software,
mjc2,mjc2,MJC2,mjc2.com,United Kingdom,NA,software,
mk productions,mk productions,"MK Productions, Inc.",NA,United States of America,NA,video game industry,
mks,mks,MKS Inc.,ptc.com,Canada,NA,software,
mobicip,mobicip,Mobicip,mobicip.com,NA,NA,content-control software,
mobile & game studio,mobile & game studio,Mobile & Game Studio,gamestudio.co.jp,NA,NA,video game industry,
mobile sorcery,mobile sorcery,Mobile Sorcery,mosync.com,NA,NA,software industry,
mobileiron,mobileiron,MobileIron,mobileiron.com,NA,NA,software industry,
mobipocket,mobipocket,Mobipocket,mobipocket.com,France,Amazon,software industry,
mobius digital,mobius digital,"Mobius Digital, LLC",mobiusdigitalgames.com,United States of America,NA,video game industry,
moderna,moderna,Moderna,modernatx.com,United States of America,NA,biotechnology|biotechnology industry,
moka5,moka5,Moka5,moka5.com,NA,NA,enterprise software,
moldflow,moldflow,Moldflow,autodesk.com,NA,NA,software,
mondeca,mondeca,Mondeca,mondeca.com,France,NA,software,
mondragon corporation,mondragon corporation,Mondragon Corporation,mondragon-corporation.com,Spain,NA,retail|manufacturing|construction|financial services|information technology consulting|Education|Manufacture of machinery and equipment n.e.c.,
moneris solutions,moneris solutions,Moneris Solutions,moneris.com,Canada,NA,banking industry|financial technology,
monese,monese,Monese,monese.com,NA,NA,financial technology,
monetate,monetate,Monetate,monetate.com,NA,NA,software industry,
moneylion,moneylion,"Moneylion, Inc.",moneylion.com,United States of America,NA,financial technology,
mongodb,mongodb,MongoDB Inc.,mongodb.com,NA,NA,free software|software industry|business software industry,
monkey bar games,monkey bar games,Monkey Bar Games,viciouscycleinc.com,United States of America,NA,video game industry,
monogram biosciences,monogram biosciences,Monogram Biosciences,monogrambio.com,NA,NA,biotechnology,
monolith corp,monolith corp,Monolith Corp.,NA,Japan,NA,video game industry,
monotaro,monotaro,MonotaRO,monotaro.com,NA,NA,industrial technology,
monsanto,monsanto,Monsanto,monsanto.com,United States of America,Bayer,biotechnology|agriculture,
montavista,montavista,MontaVista,NA,United States of America,NA,software,
moon,moon,Moon,NA,Japan,NA,video game industry,
moon studios,moon studios,Moon Studios,moongamestudios.com,Austria,NA,video game industry,
moorcontent,moorcontent,MoorContent,moorcontent.nl,Netherlands,NA,information technology,
morningtec,morningtec,MorningTec,morningtec.cn,People's Republic of China,NA,video game industry,
morphosys,morphosys,MorphoSys,morphosys.com,Germany,NA,biotechnology,
motion twin,motion twin,Motion Twin,motion-twin.com,France,NA,video game industry,
motive,motive,"Motive, Inc",motive.com,NA,NA,software,
motown software,motown software,Motown Software,NA,NA,NA,video game industry,
move interactive,move interactive,Move Interactive,move-interactive.com,NA,NA,video game industry,
moxie software,moxie software,Moxie Software,moxiesoft.com,United States of America,NA,software as a service,
mozilla corporation,mozilla corporation,Mozilla Corporation,mozilla.org,United States of America,Mozilla Foundation,software,
mozilla messaging,mozilla messaging,Mozilla Messaging,mozillamessaging.com,NA,Mozilla Foundation,software,
mozoo,mozoo,"Mozoo, Inc.",NA,Japan,NA,video game industry,
mphasis,mphasis,Mphasis,mphasis.com,India,NA,IT service management|information technology consulting,
mprest systems,mprest systems,mPrest Systems,mprest.com,NA,NA,software|arms industry|aerospace,
mri software,mri software,MRI Software,mrisoftware.com,NA,NA,software industry,
msp360,msp360,MSP360,cloudberrylab.com,NA,NA,software,
mtbc,mtbc,MTBC,carecloud.com,United States of America,NA,health information technology,
mto,mto,MTO,mto-power.com,Japan,NA,video game industry,
mu sigma,mu sigma,Mu Sigma Inc.,mu-sigma.com,NA,NA,management consulting|business software industry,
muchdifferent,muchdifferent,MuchDifferent,muchdifferent.com,NA,NA,software development,
mucky foot productions,mucky foot productions,Mucky Foot Productions,muckyfoot.com,United Kingdom,NA,video game industry,
mulesoft,mulesoft,MuleSoft,mulesoft.com,United States of America,Salesforce.com,software industry|business software industry,
multiwebcast,multiwebcast,Multiwebcast,multiwebcast.com,NA,NA,educational technology,
music wizard,music wizard,Music Wizard,NA,NA,NA,software,
musicnurkz,musicnurkz,musicnur.kz,musicnur.kz,Kazakhstan,NA,music|information technology|entertainment,
mutato muzika,mutato muzika,Mutato Muzika,mutato.com,United States of America,NA,video game industry,
my size,my size,My Size Inc.,NA,Israel,NA,technology,
myca,myca,Myca,myca.com,NA,NA,information technology,
mycarcheck,mycarcheck,MyCarCheck,NA,NA,NA,software,
mygene,mygene,Mygene,NA,Australia,NA,biotechnology,
myob,myob,MYOB,myob.com.au,Australia,NA,information technology,
myriad group,myriad group,Myriad Group,myriadgroup.com,NA,NA,software,
myschool ltd,myschool ltd,MySchool Ltd,trymyschool.com,NA,NA,software industry,
mystride,mystride,mystride,mystride.com|mystride.de|mystride.es|mystride.fr|mystride.it|mystride.nl|mystride.pt|mystride.se,NA,NA,software as a service|equestrian,
mywigo,mywigo,MyWiGo,NA,Spain,NA,software|smartphone|Hoverboard,
n'lightning software development,n'lightning software development,N'Lightning Software Development,NA,United States of America,NA,video game industry,
nakamura production,nakamura production,Nakamura Production,nakamura-pro.com,Japan,NA,video game industry,
naked sky entertainment,naked sky entertainment,Naked Sky Entertainment,nakedsky.com,United States of America,NA,video game industry,
namesys,namesys,Namesys,namesys.com,United States of America,NA,information technology,
nanjing winking entertainment,nanjing winking entertainment,Nanjing Winking Entertainment,NA,People's Republic of China,NA,video game industry,
nanostring technologies,nanostring technologies,NanoString Technologies,nanostring.com,United States of America,NA,biotechnology,
narus,narus,Narus,narus.com,NA,NA,software,
naseej,naseej,Naseej,naseej.com,Saudi Arabia,NA,information technology,
nat games,nat games,NAT Games,natgames.co.kr,NA,NA,video game industry,
national computing centre,national computing centre,National Computing Centre,NA,United Kingdom,NA,information technology,
national ict australia,national ict australia,National ICT Australia,nicta.com.au,Australia,NA,information and communications technology,
national instruments,national instruments,National Instruments,ni.com,United States of America,NA,information technology,
natsu system,natsu system,Natsu System,NA,Japan,NA,video game industry,
navel,navel,Navel,project-navel.com,Japan,NA,video game industry,
navielektro,navielektro,Navielektro,NA,NA,NA,software industry,
navigon,navigon,Navigon,navigon.com,Germany,Garmin,automotive navigation system|information and communications technology,
ncr corporation,ncr corporation,NCR Corporation,ncr.com,Germany,NA,information technology,
nea plăcut,nea plăcut,Nea Plăcut,neaplacut.ro,Romania,NA,technology,
neats,neats,Neats,neats.az,Azerbaijan,NA,software development,
nebu global,nebu global,Nebu Global,nebu.com,NA,NA,information technology,
nec,nec,NEC,nec.com,Japan,Sumitomo Group,electronics|information technology|video game industry,
nec home electronics ltd,nec home electronics ltd,"NEC Home Electronics, Ltd.",NA,Japan,NEC,video game industry,
nedgraphics,nedgraphics,NedGraphics,nedgraphics.nl,NA,NA,software,
nelsonic industries,nelsonic industries,Nelsonic Industries,NA,United States of America,NA,video game industry,
neo agency,neo agency,Neo Agency,neoagency.co.jp,Japan,NA,video game industry,
neoedge networks,neoedge networks,NeoEdge Networks,NA,United States of America,NA,video game industry,
neon studios,neon studios,Neon Studios,NA,Germany,NA,video game industry,
neotys,neotys,Neotys,neotys.com,NA,NA,software industry,
neowiz,neowiz,Neowiz,neowiz.com,NA,NA,video game industry,
nerjyzed entertainment,nerjyzed entertainment,Nerjyzed Entertainment,nerjyzed.com,United States of America,NA,video game industry,
nero,nero,Nero Inc,nero.com,Germany,NA,software industry,
ness košice,ness košice,Ness Košice,ness.com,Slovakia,NA,information technology,
ness technologies,ness technologies,Ness Technologies,ness.com,NA,NA,information technology,
netbase solutions,netbase solutions,"NetBase Solutions, Inc.",netbase.com,United States of America,NA,software industry|Social Media Analytics,
netblender,netblender,Netblender,NA,NA,NA,software,
netcompany,netcompany,Netcompany,netcompany.com,Denmark,NA,information technology,
netcracker technology,netcracker technology,Netcracker Technology,netcracker.com,United States of America,NEC,information technology,
netdirect,netdirect,NetDirect,netdirect.cz,Czech Republic,NA,software industry,
netdocuments,netdocuments,NetDocuments,NA,United States of America,NA,software as a service,
netdragon websoft,netdragon websoft,NetDragon Websoft,nd.com.cn|netdragon.com,People's Republic of China,NA,video game industry,
netease,netease,NetEase,163.com,People's Republic of China,NA,technology industry,
netfarm communications,netfarm communications,NetFarm Communications,netfarm.ne.jp,Japan,NA,video game industry,
netguru,netguru,Netguru,netguru.co,NA,NA,software development|consulting company,
netiq,netiq,NetIQ,netiq.com,NA,NA,software,
netkey,netkey,Netkey,ncr.com,NA,NA,software,
netmanage,netmanage,NetManage,NA,United States of America,NA,software,
netowl,netowl,NetOwl,netowl.com,NA,NA,software industry,
netrust,netrust,Netrust,netrust.com.sg,NA,NA,software,
netscape,netscape,Netscape,isp.netscape.com,United States of America,AOL,software,
netsmart technologies,netsmart technologies,Netsmart Technologies,ntst.com,United States of America,NA,health information technology,
netsuite,netsuite,NetSuite,netsuite.com,United States of America,NA,software development|software industry|International Standard Industrial Classification|web hosting service,
netviewer,netviewer,Netviewer,netviewer.net,Germany,NA,information technology,
netwrix,netwrix,Netwrix,netwrix.com,NA,NA,information technology,
neuralink,neuralink,Neuralink,neuralink.com,United States of America,NA,neurotechnology,
neuralstem,neuralstem,"Neuralstem, Inc.",neuralstem.com,NA,NA,biotechnology,
neurocrine biosciences,neurocrine biosciences,Neurocrine Biosciences,neurocrine.com,United States of America,NA,biotechnology,
neuron age co ltd,neuron age co ltd,"Neuron-Age Co., Ltd.",NA,Japan,NA,video game industry,
neusoft,neusoft,Neusoft,neusoft.com,People's Republic of China,NA,software development,
neverware,neverware,Neverware,neverware.com,NA,NA,educational technology,
new corporation,new corporation,New Corporation,new.co.jp,Japan,NA,video game industry,
new generation pictures,new generation pictures,New Generation Pictures,newgenerationpictures.com,United States of America,NA,video game industry,
new generation software,new generation software,New Generation Software,NA,United Kingdom,NA,video game industry,
new relic,new relic,New Relic,newrelic.com,United States of America,NA,software,
new world systems,new world systems,New World Systems,NA,NA,NA,software,
newblue,newblue,NewBlue,newblueinc.com,United States of America,NA,software industry,
newsela,newsela,"Newsela, Inc.",newsela.com,United States of America,NA,educational technology,
newtek,newtek,NewTek,newtek.com,United States of America,NA,software industry,
nex entertainment,nex entertainment,Nex Entertainment,nex-ent.co.jp,Japan,NA,video game industry,
nexidia,nexidia,Nexidia,nexidia.com,NA,NA,software,
nexon,nexon,Nexon,nexon.co.jp,NA,NA,video game industry,
nexon korea,nexon korea,NEXON Korea,company.nexon.com,South Korea,NA,video game developer|video game publisher,
nexstreaming,nexstreaming,NexStreaming,kr.nexstreaming.com,NA,NA,software,
next computer,next computer,"NeXT Computer, Inc.",web.archive.org,United States of America,NA,computer hardware|software,
next limit technologies,next limit technologies,Next Limit Technologies,nextlimit.com,Spain,NA,software,
nextgen healthcare information systems,nextgen healthcare information systems,NextGen Healthcare Information Systems,nextgen.com,NA,NA,health information technology,
nextgen jane,nextgen jane,NextGen Jane,NA,NA,NA,biotechnology,
nextgis,nextgis,NextGIS,nextgis.com,Russia,NA,geographic information system|software industry,
nextpage,nextpage,Nextpage,nextpage.com,United States of America,NA,information technology,
nexus,nexus,Nexus,de.nexus-ag.de,Germany,NA,information technology,
ngdevteam,ngdevteam,NG.DEV.TEAM,ngdevteam.com,Germany,NA,video game industry,
nice systems,nice systems,NICE Systems,nice.com,Israel,NA,software,
night school studio,night school studio,Night School Studio,nightschoolstudio.com,NA,NA,video game industry,
nigoro,nigoro,Nigoro,asterizm.jp,Japan,NA,video game industry,
nihon create,nihon create,Nihon Create,NA,Japan,NA,video game industry,
nihon falcom,nihon falcom,Nihon Falcom,falcom.com,Japan,NA,video game industry,
niit technologies,niit technologies,NIIT Technologies,niit-tech.com,NA,NA,IT service management|information technology consulting,
nimble storage,nimble storage,Nimble Storage,hpe.com,United States of America,NA,information technology|computer data storage,
nimblebit,nimblebit,NimbleBit,nimblebit.com,NA,NA,video game industry,
nimrod productions ltd,nimrod productions ltd,Nimrod Productions Ltd,NA,United Kingdom,NA,video game industry,
ninelives,ninelives,Ninelives,NA,Japan,NA,video game industry,
ninja kiwi,ninja kiwi,Ninja Kiwi,ninjakiwi.com,NA,NA,video game industry,
nintendo,nintendo,Nintendo,nintendo.co.jp|nintendo.com,Japan,NA,video game industry,
nintendo (hong kong),nintendo (hong kong),Nintendo (Hong Kong),nintendo.com.hk,People's Republic of China,Nintendo,video game industry,
nintendo australia,nintendo australia,Nintendo Australia,nintendo.com.au,Australia,Nintendo,video game industry,
nintendo european research & development,nintendo european research & development,Nintendo European Research & Development,nerd.nintendo.com,France,Nintendo,video game industry,
nintendo network service database,nintendo network service database,Nintendo Network Service Database,NA,NA,Nintendo,video game industry,
nintendo of korea,nintendo of korea,Nintendo of Korea,nintendo.co.kr,South Korea,Nintendo,video game industry,
nintendo research & development 3,nintendo research & development 3,Nintendo Research & Development 3,NA,Japan,NA,video game industry,
nintendo research & engineering department,nintendo research & engineering department,Nintendo Research & Engineering Department,NA,Japan,NA,video game,
nippon ichi software,nippon ichi software,Nippon Ichi Software,nippon1.co.jp,Japan,NA,video game industry,
nitrime,nitrime,Nitrime,NA,Brazil,NA,video game industry,
nitro games,nitro games,Nitro Games,nitrogames.com,Finland,NA,video game industry,
nlayers,nlayers,nLayers,nlayers.com,NA,NA,software,
nmk,nmk,NMK,NA,Japan,NA,video game industry,
nms software,nms software,NMS Software,NA,United Kingdom,NA,video game industry,
nnit,nnit,NNIT,nnit.com,Denmark,Novo Nordisk,information technology,
nnooo,nnooo,Nnooo,nnooo.com,Australia,NA,video game industry,
no magic,no magic,No Magic,nomagic.com,United States of America,NA,software,
noclip,noclip,Noclip,noclip.video,United States of America,NA,video game journalism,
noise factory,noise factory,Noise Factory,noise.co.jp,Japan,NA,video game industry,
noisycroak,noisycroak,Noisycroak,noisycroak.co.jp,Japan,NA,video game industry,
nomad digital,nomad digital,Nomad Digital,nomad-digital.com,NA,NA,information technology,
norconex,norconex,Norconex,norconex.com,Canada,NA,information technology|Enterprise search,
norman safeground,norman safeground,Norman Safeground,norman.no,NA,NA,software,
northdoor,northdoor,Northdoor,NA,NA,NA,information technology consulting,
northwind,northwind,Northwind,maestropms.com,Canada,NA,software development,
norton,norton,Norton,us.norton.com|it.norton.com,United States of America,NortonLifeLock,computer security software,
